"Site"	"Time"	"Lynx_Name"	"Sex"	"Mother"	"Year_Born"
"E2"	2014-01-28 08:31:00	"B335"	"m"	"B208"	2012
"E2"	2014-01-28 08:30:00	"B335"	"m"	"B208"	2012
"C5"	2014-01-28 07:01:00	"B400"	""	"B185"	2012
"B8"	2014-01-27 21:36:00	"EYWA"	"f"	"MARI"	2011
"B8"	2014-01-27 21:36:00	"EYWA"	"f"	"MARI"	2011
"B3"	2014-01-26 03:34:00	"MISO"	"m"	""	NA
"C6"	2014-01-25 03:07:00	"LOKI"	"m"	""	NA
"C4"	2014-01-25 20:03:00	"LOKI"	"m"	""	NA
"C4"	2014-01-25 20:02:00	"LOKI"	"m"	""	NA
"B5"	2014-01-24 01:27:00	"B333"	"m"	""	NA
"A5"	2014-01-24 00:12:00	"GIRO"	"m"	""	NA
"B5"	2014-01-24 01:27:00	"B333"	"m"	""	NA
"A4"	2014-01-23 01:14:00	"GIRO"	"m"	""	NA
"F8"	2014-01-22 02:48:00	"B261"	"m"	"B202"	2010
"A5"	2014-01-22 04:51:00	"GIRO"	"m"	""	NA
"G8"	2014-01-21 15:34:00	"B258"	""	""	NA
"C4"	2014-01-21 00:52:00	"LOKI"	"m"	""	NA
"C4"	2014-01-21 00:51:00	"LOKI"	"m"	""	NA
"G8"	2014-01-21 15:35:00	"B258"	""	""	NA
"E1"	2014-01-20 17:48:00	"PIRO"	"m"	"B31"	2005
"F2"	2014-01-20 18:38:00	"B261"	"m"	"B202"	2010
"E1"	2014-01-20 17:50:00	"PIRO"	"m"	"B31"	2005
"F2"	2014-01-20 18:38:00	"B261"	"m"	"B202"	2010
"A1"	2014-01-19 23:43:00	"SILV"	"m"	""	NA
"B5"	2014-01-18 21:40:00	"EYWA"	"f"	"MARI"	2011
"B5"	2014-01-18 21:40:00	"EYWA"	"f"	"MARI"	2011
"F4"	2014-01-17 03:59:00	"B185"	"f"	""	NA
"F4"	2014-01-17 03:59:00	"B185"	"f"	""	NA
"A5"	2014-01-16 21:40:00	"B331"	""	"MARI"	2012
"A5"	2014-01-16 21:39:00	"B331"	""	"MARI"	2012
"A5"	2014-01-16 21:41:00	"B331"	""	"MARI"	2012
"B2"	2014-01-16 05:45:00	"B385"	""	"B239"	2011
"E5"	2014-01-16 18:05:00	"B335"	"m"	"B208"	2012
"E5"	2014-01-16 18:04:00	"B335"	"m"	"B208"	2012
"D5"	2014-01-15 23:24:00	"B261"	"m"	"B202"	2010
"C4"	2014-01-15 23:52:00	"LOKI"	"m"	""	NA
"C4"	2014-01-15 23:53:00	"LOKI"	"m"	""	NA
"D5"	2014-01-15 23:23:00	"B261"	"m"	"B202"	2010
"I1"	2014-01-15 04:31:00	"SILV"	"m"	""	NA
"F4"	2014-01-14 03:11:00	"PIRO"	"m"	"B31"	2005
"F8"	2014-01-14 01:17:00	"B256"	"m"	""	NA
"C4"	2014-01-14 22:16:00	"LOKI"	"m"	""	NA
"D4"	2014-01-14 06:06:00	"B261"	"m"	"B202"	2010
"D4"	2014-01-14 06:06:00	"B261"	"m"	"B202"	2010
"C4"	2014-01-14 22:16:00	"LOKI"	"m"	""	NA
"F4"	2014-01-14 03:11:00	"PIRO"	"m"	"B31"	2005
"E6"	2014-01-13 05:21:00	"PIRO"	"m"	"B31"	2005
"E6"	2014-01-13 00:04:00	"PIRO"	"m"	"B31"	2005
"E6"	2014-01-13 05:13:00	"PIRO"	"m"	"B31"	2005
"C6"	2014-01-13 04:51:00	"B335"	"m"	"B208"	2012
"E6"	2014-01-13 00:11:00	"PIRO"	"m"	"B31"	2005
"C6"	2014-01-13 04:53:00	"B335"	"m"	"B208"	2012
"F6"	2014-01-13 20:34:00	"B294"	"m"	""	NA
"F6"	2014-01-13 20:34:00	"B294"	"m"	""	NA
"A3"	2014-01-13 19:44:00	"GIRO"	"m"	""	NA
"B4"	2014-01-12 03:44:00	"B331"	""	"MARI"	2012
"G1"	2014-01-11 17:53:00	"B256"	"m"	""	NA
"B3"	2014-01-10 08:47:00	"B279"	"f"	""	2010
"A4"	2014-01-10 00:09:00	"GIRO"	"m"	""	NA
"A4"	2014-01-10 00:08:00	"GIRO"	"m"	""	NA
"B8"	2014-01-10 20:16:00	"B333"	"m"	""	NA
"A5"	2014-01-10 03:38:00	"B331"	""	"MARI"	2012
"B3"	2014-01-10 08:47:00	"B279"	"f"	""	2010
"B8"	2014-01-10 20:15:00	"B333"	"m"	""	NA
"D2"	2014-01-09 01:24:00	"B261"	"m"	"B202"	2010
"D2"	2014-01-09 01:24:00	"B261"	"m"	"B202"	2010
"D1"	2014-01-08 22:07:00	"LOKI"	"m"	""	NA
"D1"	2014-01-08 22:07:00	"LOKI"	"m"	""	NA
"F9"	2014-01-08 23:36:00	"B383"	""	"B196"	2013
"F9"	2014-01-08 23:38:00	"B383"	""	"B196"	2013
"C1"	2014-01-07 04:17:00	"B336"	""	"B208"	2012
"E2"	2014-01-07 19:27:00	"B335"	"m"	"B208"	2012
"I2"	2014-01-07 17:33:00	"SILV"	"m"	""	NA
"C1"	2014-01-07 04:17:00	"B336"	""	"B208"	2012
"E2"	2014-01-07 19:26:00	"B335"	"m"	"B208"	2012
"B8"	2014-01-05 01:31:00	"B333"	"m"	""	NA
"B8"	2014-01-05 01:31:00	"B333"	"m"	""	NA
"F7"	2014-01-05 20:26:00	"B256"	"m"	""	NA
"E6"	2014-01-04 05:44:00	"B335"	"m"	"B208"	2012
"E6"	2014-01-04 05:38:00	"B335"	"m"	"B208"	2012
"B8"	2014-01-03 04:58:00	"EYWA"	"f"	"MARI"	2011
"B8"	2014-01-03 04:58:00	"EYWA"	"f"	"MARI"	2011
"B8"	2014-01-02 03:21:00	"B333"	"m"	""	NA
"A5"	2014-01-02 00:11:00	"GIRO"	"m"	""	NA
"G7"	2014-01-02 00:40:00	"B258"	""	""	NA
"B8"	2014-01-02 03:20:00	"B333"	"m"	""	NA
"B8"	2014-01-02 03:20:00	"B333"	"m"	""	NA
"A5"	2014-01-02 00:11:00	"GIRO"	"m"	""	NA
"E3"	2014-01-01 19:38:00	"B331"	""	"MARI"	2012
"G7"	2014-01-01 21:13:00	"B256"	"m"	""	NA
"G7"	2014-01-01 21:12:00	"B256"	"m"	""	NA
"B5"	2014-01-01 21:15:00	"MISO"	"m"	""	NA
"B5"	2014-01-01 21:14:00	"MISO"	"m"	""	NA
"G8"	2013-12-31 21:43:00	"B256"	"m"	""	NA
"G5"	2013-12-31 00:47:00	"B256"	"m"	""	NA
"B5"	2013-12-31 20:18:00	"EYWA"	"f"	"MARI"	2011
"G8"	2013-12-31 21:43:00	"B256"	"m"	""	NA
"B5"	2013-12-31 20:19:00	"EYWA"	"f"	"MARI"	2011
"F8"	2013-12-30 07:29:00	"B261"	"m"	"B202"	2010
"F8"	2013-12-30 07:30:00	"B261"	"m"	"B202"	2010
"A3"	2013-12-29 18:14:00	"B379"	"f"	""	NA
"A3"	2013-12-29 18:14:00	"B379"	"f"	""	NA
"F4"	2013-12-28 06:15:00	"PIRO"	"m"	"B31"	2005
"F4"	2013-12-28 06:14:00	"PIRO"	"m"	"B31"	2005
"B7"	2013-12-28 19:59:00	"B385"	""	"B239"	2011
"B7"	2013-12-28 19:58:00	"B385"	""	"B239"	2011
"D8"	2013-12-28 23:15:00	"B185"	"f"	""	NA
"D8"	2013-12-28 23:15:00	"B185"	"f"	""	NA
