"Site"	"x"	"y"
"A1"	615262	167863
"A2"	608598	162329
"A3"	605040	159709
"A4"	604423	161485
"A5"	606097	162555
"A6"	614553	169920
"A7"	608951	173237
"B1"	611084	168717
"B2"	606990	166147
"B3"	602803	168903
"B4"	604002	166265
"B5"	600892	168566
"B6"	596506	166133
"B7"	597546	164213
"B8"	594233	163750
"C1"	603518	142013
"C2"	600502	139908
"C3"	601732	146044
"C4"	598633	145829
"C5"	598868	150021
"C6"	595876	149578
"C7"	596174	155056
"D1"	588062	137586
"D2"	588194	142569
"D3"	592059	138910
"D4"	590024	144381
"D5"	591250	142871
"D6"	591528	147205
"D7"	590244	147319
"D8"	587003	149422
"D9"	586680	137932
"E1"	590255	160646
"E2"	594331	156863
"E3"	595902	159821
"E4"	596772	157353
"E5"	595590	153627
"E6"	592454	153577
"E7"	590045	152065
"F1"	586294	144427
"F2"	585420	147987
"F3"	576320	148569
"F4"	580169	149671
"F5"	580790	146655
"F6"	573790	146837
"F7"	569629	146086
"F8"	575891	143932
"F9"	580664	138492
"F11"	575424	138175
"G1"	567321	145304
"G2"	571088	149865
"G3"	569678	152129
"G4"	571109	154340
"G5"	573070	153268
"G6"	574001	155325
"G7"	574150	158850
"G8"	578442	161266
"G9"	582952	160267
"I1"	618502	165767
"I2"	615877	161516
"I3"	611882	153758
"I4"	608447	148458
